name_RF;model_name
200001;Samsung A12
200002;Samsung A32 (4G)
200003;Samsung A52 (4G)
200008;Xiaomi Redmi 9
200009;Xiaomi Redmi 9C
200010;Xiaomi Redmi 9A
200011;Xiaomi Redmi Note 9S/Redmi Note 9 Pro
200012;Xiaomi Redmi Note 10/Redmi Note 10S
200013;Xiaomi Redmi Note 10 Pro
200016;iPhone 7/8/SE (2020)/SE (2022)
200018;iPhone X/Xs
200019;iPhone Xs Max
200020;iPhone Xr
200108;iPhone 11
200026;Samsung A22 (4G)
200027;Xiaomi Redmi 9T
200029;Samsung A51 (4G)
200030;Xiaomi Redmi Note 8 Pro
200031;Honor 8X (2018)
200034;Xiaomi Redmi Note 9
200035;Honor 9X/Huawei Y9 Prime 2019
200042;Realme 8/Realme 8 Pro
200051;Xiaomi Poco M3
200053;Xiaomi Redmi Note 7
200055;iPhone 6/6S
200081;Xiaomi Poco X3/Poco X3 Pro/Poco X3 NFS
200088;Xiaomi Redmi 10
200088;Xiaomi Redmi 10
200103;Xiaomi Mi 11T/11T Pro 
200106;Xiaomi Redmi Note 11/Redmi Note 11S (4G)
200112;iPhone 12
200132;Samsung A53 (5G)
200134;Realme 8i
200136;Xiaomi Poco M4 Pro (5G)
200141;Xiaomi Redmi 8
200149;Honor X8 (2022)
200166;Xiaomi Redmi 10C
200167;Xiaomi Poco X4 Pro (5G)
200173;Realme C11 (2021)/C20 (2021)
